Date,Volume
"Dec 31, 2020","$40,730,301,359"
"Dec 30, 2020","$46,754,964,848"
"Dec 29, 2020","$51,287,442,704"
"Dec 28, 2020","$45,265,946,774"
"Dec 27, 2020","$49,056,742,893"
"Dec 26, 2020","$66,479,895,605"
"Dec 25, 2020","$48,332,647,295"
"Dec 24, 2020","$42,068,395,846"
"Dec 23, 2020","$41,080,759,713"
"Dec 22, 2020","$51,146,161,904"
"Dec 21, 2020","$44,171,632,681"
"Dec 20, 2020","$45,852,713,981"
"Dec 19, 2020","$37,844,228,422"
"Dec 18, 2020","$38,487,546,580"
"Dec 17, 2020","$40,387,896,275"
"Dec 16, 2020","$71,378,606,374"
"Dec 15, 2020","$44,409,011,479"
"Dec 14, 2020","$26,741,982,541"
"Dec 13, 2020","$22,473,997,681"
"Dec 12, 2020","$25,450,468,637"
"Dec 11, 2020","$21,752,580,802"
"Dec 10, 2020","$27,919,640,985"
"Dec 09, 2020","$25,547,132,265"
"Dec 08, 2020","$34,420,373,071"
"Dec 07, 2020","$31,692,288,756"
"Dec 06, 2020","$26,896,357,742"
"Dec 05, 2020","$25,293,775,714"
"Dec 04, 2020","$27,242,455,064"
"Dec 03, 2020","$33,872,388,058"
"Dec 02, 2020","$31,930,317,405"
"Dec 01, 2020","$37,387,697,139"
"Nov 30, 2020","$49,633,658,712"
"Nov 29, 2020","$47,728,480,399"
"Nov 28, 2020","$31,133,957,704"
"Nov 27, 2020","$32,601,040,734"
"Nov 26, 2020","$38,886,494,645"
"Nov 25, 2020","$61,396,835,737"
"Nov 24, 2020","$43,710,357,371"
"Nov 23, 2020","$51,469,565,009"
"Nov 22, 2020","$42,741,112,308"
"Nov 21, 2020","$41,280,434,226"
"Nov 20, 2020","$39,650,210,707"
"Nov 19, 2020","$36,992,873,940"
"Nov 18, 2020","$36,985,055,355"
"Nov 17, 2020","$49,064,800,278"
"Nov 16, 2020","$39,006,849,170"
"Nov 15, 2020","$31,526,766,675"
"Nov 14, 2020","$23,653,867,583"
"Nov 13, 2020","$27,481,710,135"
"Nov 12, 2020","$31,599,492,172"
"Nov 11, 2020","$34,175,758,344"
"Nov 10, 2020","$29,772,374,934"
"Nov 09, 2020","$25,574,938,143"
"Nov 08, 2020","$34,149,115,566"
"Nov 07, 2020","$26,632,075,029"
"Nov 06, 2020","$35,024,953,706"
"Nov 05, 2020","$39,837,841,971"
"Nov 04, 2020","$40,856,321,439"
"Nov 03, 2020","$35,116,364,962"
"Nov 02, 2020","$29,869,951,617"
"Nov 01, 2020","$30,771,455,468"
"Oct 31, 2020","$24,453,857,900"
"Oct 30, 2020","$30,306,464,719"
"Oct 29, 2020","$30,581,485,201"
"Oct 28, 2020","$56,499,499,598"
"Oct 27, 2020","$35,867,318,895"
"Oct 26, 2020","$33,749,878,156"
"Oct 25, 2020","$29,461,458,313"
"Oct 24, 2020","$24,406,920,575"
"Oct 23, 2020","$24,542,317,940"
"Oct 22, 2020","$28,974,975,003"
"Oct 21, 2020","$34,729,759,598"
"Oct 20, 2020","$43,414,712,626"
"Oct 19, 2020","$30,915,821,592"
"Oct 18, 2020","$23,860,769,928"
"Oct 17, 2020","$18,283,314,340"
"Oct 16, 2020","$19,130,430,174"
"Oct 15, 2020","$25,635,480,772"
"Oct 14, 2020","$24,487,233,058"
"Oct 13, 2020","$24,103,426,719"
"Oct 12, 2020","$24,241,420,251"
"Oct 11, 2020","$26,163,972,642"
"Oct 10, 2020","$19,968,627,060"
"Oct 09, 2020","$22,877,978,588"
"Oct 08, 2020","$22,799,117,613"
"Oct 07, 2020","$63,314,794,397"
"Oct 06, 2020","$37,799,458,436"
"Oct 05, 2020","$42,623,695,307"
"Oct 04, 2020","$47,537,578,009"
"Oct 03, 2020","$71,251,776,995"
"Oct 02, 2020","$44,660,271,563"
"Oct 01, 2020","$48,661,453,918"
"Sep 30, 2020","$40,023,134,100"
"Sep 29, 2020","$44,171,073,700"
"Sep 28, 2020","$46,582,396,602"
"Sep 27, 2020","$47,762,394,731"
"Sep 26, 2020","$53,745,972,818"
"Sep 25, 2020","$46,852,525,493"
"Sep 24, 2020","$39,348,590,957"
"Sep 23, 2020","$47,144,380,902"
"Sep 22, 2020","$23,788,661,867"
"Sep 21, 2020","$23,621,787,804"
"Sep 20, 2020","$28,884,999,244"
"Sep 19, 2020","$24,699,523,788"
"Sep 18, 2020","$22,764,204,008"
"Sep 17, 2020","$26,341,903,912"
"Sep 16, 2020","$38,151,810,523"
"Sep 15, 2020","$30,769,986,455"
"Sep 14, 2020","$32,509,451,925"
"Sep 13, 2020","$35,453,581,940"
"Sep 12, 2020","$36,506,852,789"
"Sep 11, 2020","$36,750,077,324"
"Sep 10, 2020","$45,201,121,775"
"Sep 09, 2020","$54,406,443,211"
"Sep 08, 2020","$24,128,292,755"
"Sep 07, 2020","$33,430,927,462"
"Sep 06, 2020","$33,703,098,409"
"Sep 05, 2020","$37,071,460,174"
"Sep 04, 2020","$44,916,565,292"
"Sep 03, 2020","$29,965,130,374"
"Sep 02, 2020","$31,927,261,555"
"Sep 01, 2020","$28,037,405,299"
"Aug 31, 2020","$27,311,555,343"
"Aug 30, 2020","$22,285,928,250"
"Aug 29, 2020","$19,760,127,945"
"Aug 28, 2020","$17,485,597,759"
"Aug 27, 2020","$19,807,127,588"
"Aug 26, 2020","$23,240,415,076"
"Aug 25, 2020","$22,466,660,958"
"Aug 24, 2020","$26,301,509,932"
"Aug 23, 2020","$20,681,511,755"
"Aug 22, 2020","$18,482,062,658"
"Aug 21, 2020","$20,224,191,306"
"Aug 20, 2020","$23,762,425,999"
"Aug 19, 2020","$20,175,242,945"
"Aug 18, 2020","$24,502,851,117"
"Aug 17, 2020","$26,043,227,672"
"Aug 16, 2020","$28,227,687,027"
"Aug 15, 2020","$20,583,375,490"
"Aug 14, 2020","$23,354,924,400"
"Aug 13, 2020","$24,237,958,589"
"Aug 12, 2020","$27,522,199,497"
"Aug 11, 2020","$25,064,548,486"
"Aug 10, 2020","$27,039,782,640"
"Aug 09, 2020","$26,114,112,569"
"Aug 08, 2020","$17,489,608,833"
"Aug 07, 2020","$17,572,057,837"
